,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Spain,France,Germany
39,9609,15765857,Wallace,666,Spain,1,42,6,62397.41,3,1,0,87994.57,0,1,0,0
40,7325,15602010,Wu,656,France,0,36,4,62397.41,1,1,0,90126.18,1,0,1,0
41,2355,15747960,Upchurch,598,Germany,1,40,6,128289.78,1,1,1,139448.71,0,0,0,0
42,4845,15621520,Hung,560,Spain,1,51,3,132909.52,3,0,0,87056.81,1,1,0,0
43,6636,15732266,Tsao,672,France,1,37,2,121755.66,2,1,0,101345.85,0,0,1,0
44,8465,15789097,Dilibe,648,Germany,1,42,6,101286.1,2,0,1,131810.26,0,0,0,0
45,8207,15777743,MacDonald,745,France,0,50,6,114317.96,1,1,1,79173.2,0,0,1,0
46,1322,15708048,Maxwell,563,France,1,43,5,117606.24,1,1,0,68261.03,0,0,1,0
47,1902,15779913,Zhdanova,634,France,0,60,6,62397.41,2,0,1,81739.17,0,0,1,0
48,4363,15768682,Grave,546,Spain,1,48,4,62397.41,2,1,1,81481.6,0,1,0,0
49,1232,15797751,Farrell,504,France,0,47,5,62397.41,1,1,0,112750.56,1,0,1,0
50,595,15748589,Hill,620,France,0,40,4,62397.41,2,1,1,72917.51,0,0,1,0
51,447,15676156,Tsou,650,France,0,51,5,123624.48,2,0,1,110261.64,0,0,1,0
52,3050,15600792,Zubarev,685,France,1,52,4,62397.41,2,1,1,133533.73,0,0,1,0
53,3709,15798429,Williamson,598,Spain,1,62,4,62397.41,1,1,1,87482.2,0,1,0,0
54,1527,15702499,Yates,658,France,1,39,4,62397.41,2,1,1,88688.38,0,0,1,0
55,5911,15756299,Palermo,657,Spain,1,48,4,138647.66,1,1,0,134301.16,0,1,0,0
56,791,15770995,Macrossan,682,France,1,42,3,62397.41,3,0,0,96695.96,1,0,1,0
57,1767,15605872,Pai,634,Spain,1,44,7,146774.41,1,0,1,122044.92,0,1,0,0
58,4386,15571756,Hill,747,Germany,1,52,3,106516.21,1,0,1,73103.31,1,0,0,0
59,5295,15702416,Sturdee,622,France,1,30,7,125581.31,1,0,0,131894.97,0,0,1,0
60,8359,15759067,Ibezimako,703,Germany,0,46,4,117775.98,2,1,1,94706.52,0,0,0,0
61,7762,15598586,Kovalyova,654,Spain,0,42,5,100130.74,1,1,1,61192.84,1,1,0,0
62,5009,15609653,Watterston,699,Spain,0,42,6,62397.41,2,1,1,57913.69,0,1,0,0
63,3953,15772329,Vasilyev,669,Spain,0,45,2,117242.8,1,0,1,128836.55,0,1,0,0
64,5887,15654733,Welch,692,Germany,0,44,5,146979.63,3,1,0,66205.98,1,0,0,0
65,4516,15648876,Y?an,664,Spain,1,43,6,134824.32,1,1,1,62480.29,0,1,0,0
66,1417,15583725,Onyekachukwu,578,France,1,44,3,62397.41,2,1,1,112727.73,0,0,1,0
67,8528,15671014,Donaldson,655,Spain,1,49,3,62397.41,2,1,1,58855.02,0,1,0,0
68,1955,15807269,Taylor,666,Spain,0,40,3,62397.41,2,1,0,102117.89,0,1,0,0
69,9440,15690175,Udobata,647,France,1,38,5,62397.41,2,1,0,95873.62,0,0,1,0
70,4795,15661734,Conway,565,France,1,38,6,118050.33,1,1,1,63702.66,0,0,1,0
71,4761,15661945,Reynolds,666,Germany,0,37,6,120438.27,2,1,1,114757.14,0,0,0,0
72,8896,15811026,Romani,667,France,0,30,4,117247.45,2,1,1,81389.77,0,0,1,0
73,985,15673539,Chin,682,France,0,44,5,99658.64,1,1,1,62523.09,1,0,1,0
74,1326,15804919,McMillan,588,Germany,1,51,5,110892.29,2,1,1,66160.11,0,0,0,0
75,6590,15773779,Yao,633,Spain,1,36,6,62397.41,2,0,1,93941.36,0,1,0,0
76,6307,15757467,Esomchi,595,France,1,62,5,137763.51,1,1,1,89918.69,0,0,1,0
77,6598,15793825,Hutchinson,584,Spain,1,34,5,62397.41,2,1,0,105314.91,0,1,0,0
78,665,15644103,Lambert,647,Spain,1,44,4,119591.24,1,1,0,64577.47,0,1,0,0
79,9273,15644994,Lu,711,Spain,0,40,4,103003.44,1,1,0,106981.08,0,1,0,0
80,7391,15628272,Allan,547,Spain,0,62,6,62397.41,2,1,1,63564.46,0,1,0,0
81,3031,15611599,Madukwe,753,France,0,55,5,128398.56,1,1,1,108147.67,0,0,1,0
82,5958,15737605,Duncan,542,France,1,44,3,62397.41,2,1,0,71012.75,0,0,1,0
83,1483,15646490,Tu,681,France,1,47,5,146918.83,1,0,1,141292.86,0,0,1,0
84,7560,15733888,Fleming,659,Germany,0,37,4,117083.83,2,0,1,110123.34,0,0,0,0
85,8126,15693233,Tan,642,Spain,1,56,4,150643.21,2,1,0,99602.56,1,1,0,0
86,3711,15574119,Zuev,679,France,0,43,3,120970.09,1,0,0,119407.7,0,0,1,0
87,7583,15568088,Naquin,645,Germany,0,39,3,139194.79,1,1,0,132165.56,1,0,0,0
88,3955,15663942,Campbell,612,France,0,45,4,62397.41,2,1,0,60164.89,0,0,1,0
89,3736,15646756,Rowe,650,France,1,48,3,62397.41,1,1,1,106136.99,0,0,1,0
90,6240,15722322,Fedorova,693,France,1,46,5,62397.41,2,1,0,104199.31,0,0,1,0
91,1001,15687558,Naylor,676,France,1,44,5,117582.84,1,0,1,121070.52,0,0,1,0
92,3239,15732628,Yermakova,753,France,1,42,6,62397.41,1,0,0,100044.1,0,0,1,0
93,647,15792228,Smith,687,France,1,67,5,62397.41,2,0,1,103343.55,0,0,1,0
94,274,15639314,Talbot,536,Spain,1,46,4,62397.41,2,0,1,142275.11,0,1,0,0
95,7610,15808023,Hargreaves,674,Spain,1,40,3,122796.55,1,1,0,110724.47,0,1,0,0
96,7894,15774155,Lei,713,Spain,1,54,3,62397.41,2,1,0,76683.36,1,1,0,0
97,3447,15711921,Kerr,525,Spain,0,42,5,121923.2,1,0,1,125517.45,0,1,0,0
98,6564,15770101,Anenechukwu,611,Germany,1,54,4,121930.87,1,1,1,114264.45,1,0,0,0
99,12,15775662,Swinton,717,France,0,37,5,98218.19,2,0,1,111009.95,0,0,1,0
100,4473,15660211,Pickering,667,France,1,37,3,62397.41,2,1,0,66048.5,0,0,1,0
101,466,15787884,Evans,587,Germany,0,43,4,122553.91,1,1,0,115737.78,0,0,0,0
102,2296,15774738,Greece,541,Spain,0,39,2,90031.18,1,1,1,115681.97,0,1,0,0
103,8990,15689237,Powell,625,France,0,60,5,62397.41,2,1,1,83483.7,0,0,1,0
104,7260,15752838,Bond,610,France,1,39,2,128361.96,2,1,0,135360.2,0,0,1,0
105,1584,15577514,Murray,672,Germany,0,34,5,136545.61,1,0,0,79226.3,0,0,0,0
106,9902,15814750,Blinova,526,France,1,44,5,62397.41,1,1,0,129881.31,1,0,1,0
107,5056,15672826,Mishina,724,Spain,1,47,5,62397.41,2,1,1,112057.3,0,1,0,0
108,6654,15780954,Toscano,609,France,0,44,6,62397.41,2,0,0,97332.13,0,0,1,0
109,1712,15683657,Watts,466,Spain,0,41,2,62397.41,1,1,1,133793.26,1,1,0,0
110,6514,15710295,Mason,642,Germany,1,40,4,116814.32,2,1,0,131851.4,0,0,0,0
111,5972,15758856,Nolan,730,France,1,60,7,94900.01,2,0,1,117187.71,0,0,1,0
112,6661,15775192,Green,718,France,0,48,5,62397.41,2,1,0,140499.37,0,0,1,0
113,9099,15773283,Yusupova,588,France,0,43,5,62397.41,2,1,1,112700.88,0,0,1,0
114,4670,15755731,Bolton,710,Germany,0,66,6,134044.24,2,1,1,109562.95,0,0,0,0
115,786,15661936,Duncan,741,Germany,0,38,6,102738.03,1,1,0,140304.81,0,0,0,0
116,6094,15623927,Martin,658,Spain,0,32,6,62397.41,1,0,0,62140.91,0,1,0,0
117,6308,15696098,Ponomarev,668,Spain,0,68,5,62397.41,2,0,0,121848.92,0,1,0,0
118,8587,15677550,Findlay,753,France,1,39,4,62397.41,2,1,1,62258.03,0,0,1,0
119,6733,15588197,Carroll,593,France,0,46,6,62397.41,2,1,1,118536.23,0,0,1,0
120,1154,15720353,Fan,603,Spain,0,43,7,115330.89,2,1,0,116154.17,0,1,0,0
121,4184,15595588,Chikere,617,France,0,40,3,148931.53,1,1,1,125396.99,0,0,1,0
122,9998,15709232,Harvey,680,Spain,0,65,4,62397.41,2,1,1,117496.37,0,1,0,0
123,4893,15685997,Sung,678,Germany,1,40,6,125668.13,2,1,0,80611.05,1,0,0,0
124,8336,15670427,Douglas,561,Spain,1,45,6,62397.41,1,0,0,122456.5,0,1,0,0
125,2149,15707242,Chidubem,560,France,0,37,5,114570.57,1,1,1,110924.03,0,0,1,0
126,7928,15734461,Dawkins,595,France,0,58,6,62397.41,4,1,1,63300.93,1,0,1,0
127,4499,15760873,Souter,642,France,1,40,5,62397.41,1,1,1,78380.3,1,0,1,0
128,6901,15571305,Norris,561,France,0,37,3,62397.41,2,1,0,58101.5,0,0,1,0
129,3872,15684269,Mai,650,Germany,1,40,3,128928.22,2,0,0,136589.92,0,0,0,0
130,5718,15702919,Amies,624,Spain,0,43,4,62397.41,1,1,1,102549.04,0,1,0,0
131,6627,15580487,Matveyev,563,Germany,0,43,3,103878.17,1,1,0,105988.24,0,0,0,0
132,7039,15677512,Black,639,France,1,47,5,62397.41,2,1,1,85789.66,0,0,1,0
133,9195,15623858,Howe,706,Spain,1,46,3,118009.19,1,0,0,103741.58,0,1,0,0
134,4872,15658432,Trouette,650,France,1,45,4,136926.04,1,1,1,76504.38,1,0,1,0
135,6540,15668886,Ifeatu,697,Germany,0,37,4,112105.25,1,1,1,77838.46,0,0,0,0
136,7513,15806081,McGregor,690,France,1,39,6,62397.41,2,1,0,80281.8,0,0,1,0
137,6289,15792989,Shubina,542,France,1,37,2,116147.3,1,0,1,76210.59,0,0,1,0
138,3124,15626385,Craig,709,France,1,36,4,85712.45,3,1,0,111870.89,1,0,1,0
139,8483,15737732,Gregory,539,Germany,1,38,3,149519.82,1,0,1,109672.21,0,0,0,0
140,6181,15784010,Li,699,Spain,1,40,4,122383.46,3,1,1,77533.15,1,1,0,0
141,5564,15751336,Foveaux,550,France,1,43,3,99335.63,1,0,1,104090.73,1,0,1,0
142,8,15766908,Ikenna,599,Spain,0,40,5,131306.24,1,0,0,90174.96,0,1,0,0
143,6292,15789498,Kazantsev,723,Spain,0,42,5,62397.41,2,0,1,82057.9,0,1,0,0
144,2703,15801265,Muldrow,592,Spain,0,47,5,62397.41,1,0,0,124932.83,0,1,0,0
145,6607,15701738,Sung,753,Spain,0,41,2,62397.41,2,1,0,117522.67,0,1,0,0
146,4161,15571261,Brown,614,France,1,47,4,96896.17,1,1,0,128891.28,1,0,1,0
147,7669,15668943,Han,628,France,1,45,6,62397.41,2,1,1,79338.14,0,0,1,0
148,6085,15757911,Chin,568,France,1,33,5,62397.41,2,0,0,138601.2,0,0,1,0
149,6258,15574283,Nnonso,599,Germany,0,44,7,131483.97,2,1,1,63512.97,0,0,0,0
150,3539,15667620,Lorenzo,610,Germany,1,57,4,122220.15,2,1,0,72471.2,1,0,0,0
151,6278,15646190,Bellucci,660,France,0,53,4,62397.41,2,0,1,104805.25,0,0,1,0
152,6180,15808182,Krischock,623,Spain,0,39,5,132457.48,2,0,0,71940.51,0,1,0,0
153,8334,15700864,Degtyarev,567,Germany,0,33,4,111724.1,2,1,1,79740.46,0,0,0,0
154,3637,15645572,Uchenna,652,Spain,0,46,6,62397.41,2,1,0,103319.71,0,1,0,0
155,3253,15570002,Sozonov,624,Germany,1,48,5,116668.17,2,1,0,123739.56,0,0,0,0
156,1206,15733429,Chien,677,Germany,1,37,4,103977.86,2,1,0,83097.84,0,0,0,0
157,6826,15815530,Newbold,534,Germany,1,42,5,150322.39,1,1,0,74546.58,0,0,0,0
158,3286,15722965,Powell,527,France,1,43,5,62397.41,1,1,1,68001.16,0,0,1,0
159,44,15775888,Chiazagomekpere,611,Germany,0,32,5,129106.05,1,1,1,118657.31,0,0,0,0
160,1841,15776824,Vessels,578,Germany,0,39,6,127921.5,2,1,0,102398.3,0,0,0,0
161,1560,15808473,Hunter,687,Germany,0,40,5,131182.77,1,0,0,93420.21,0,0,0,0
162,2837,15570835,Kung,640,France,1,62,5,62397.41,2,1,1,99913.15,0,0,1,0
163,4264,15589881,Tu,657,France,0,43,5,101426.09,1,1,1,68311.32,0,0,1,0
164,71,15592028,Vincent,616,Spain,0,44,5,113100.84,1,0,1,114728.36,0,1,0,0
165,6982,15722532,Mason,612,Spain,0,42,2,62397.41,2,1,1,73667.6,0,1,0,0
166,2744,15657214,Ukaegbulam,591,France,1,48,2,62397.41,3,0,1,113406.5,1,0,1,0
167,2045,15794048,Compton,563,France,1,38,4,62397.41,1,1,1,106353.13,0,0,1,0
168,8039,15775892,Kao,588,Spain,0,46,6,101612.16,1,0,1,70543.99,0,1,0,0
169,4878,15739502,Sun,669,Germany,0,47,4,128258.17,1,1,0,88957.47,1,0,0,0
170,6813,15659949,Blinova,686,France,0,38,5,62397.41,1,1,1,85063.46,0,0,1,0
171,4354,15786617,James,642,France,1,39,6,62397.41,2,0,1,103068.95,0,0,1,0
172,8705,15578251,Nwebube,706,France,1,44,7,62397.41,2,0,1,86959.91,0,0,1,0
173,2166,15762799,Greenwalt,670,France,0,30,5,100830.38,1,1,1,131231.9,0,0,1,0
174,4650,15667751,Vinogradov,676,France,0,43,4,143142.54,2,1,0,82006.45,0,0,1,0
175,619,15749004,Glover,624,Germany,0,34,5,107834.52,1,1,1,58918.55,0,0,0,0
176,8391,15706537,Geach,599,France,0,51,4,123293.16,1,0,0,59230.7,1,0,1,0
177,403,15587266,Walker,668,France,0,41,3,113034.87,3,0,0,87578.15,1,0,1,0
178,3512,15747097,Forbes,565,France,0,37,4,99197.77,1,0,1,111385.48,0,0,1,0
179,6777,15595282,Pinto,588,France,1,38,4,62397.41,2,1,0,82866.86,0,0,1,0
180,9286,15770711,Lettiere,648,France,0,58,5,62397.41,2,1,1,90370.79,0,0,1,0
181,3917,15808905,Olague,590,France,0,40,6,62397.41,2,1,0,139248.41,0,0,1,0
182,9493,15703541,Fiorentini,700,France,1,32,5,62397.41,2,1,0,136582.45,0,0,1,0
183,4480,15802501,Powell,604,France,1,35,6,62397.41,2,1,1,110648.52,0,0,1,0
184,5757,15577657,Lai,713,Spain,1,37,3,123560.49,2,0,0,92260.04,0,1,0,0
185,4733,15571873,Aksenov,668,France,0,32,3,62397.41,1,0,1,109021.59,0,0,1,0
186,8662,15798615,McClemans,595,Germany,0,39,3,141091.1,1,1,1,73295.8,0,0,0,0
187,2453,15661526,Terry,688,Germany,0,36,5,124588.58,2,1,0,117656.69,0,0,0,0
188,6956,15786993,Giordano,652,France,0,29,4,115030.44,2,1,0,73954.79,0,0,1,0
189,9370,15707559,Gardener,527,France,1,40,3,129300.37,1,0,1,91486.5,0,0,1,0
190,7776,15604482,Mazzi,588,Germany,1,46,5,109270.37,3,1,0,117434.76,1,0,0,0
191,7982,15743538,Forbes,546,Germany,0,44,5,123918.2,1,0,1,73423.13,1,0,0,0
192,843,15689953,Paterson,695,Spain,0,42,5,122312.68,1,1,0,129639.67,1,1,0,0
193,5364,15733966,Shaver,621,Germany,1,42,6,136154.1,1,0,1,62363.55,0,0,0,0
194,3546,15596671,Ejimofor,670,France,1,42,5,122001.84,1,1,1,59932.02,1,0,1,0
195,368,15637427,Read,536,France,0,37,5,62397.41,2,1,0,97330.25,0,0,1,0
196,8162,15705860,Black,672,Spain,1,40,6,62397.41,1,1,1,127684.77,0,1,0,0
197,5665,15797767,Kent,615,Germany,0,40,4,106682.06,1,1,1,71462.74,0,0,0,0
198,7933,15575391,Muir,739,France,0,37,6,62397.41,1,0,1,127300.28,0,0,1,0
199,6385,15611371,Ts'ui,697,France,0,44,4,62397.41,2,1,0,110458.86,0,0,1,0
200,8708,15655339,Bremer,587,Germany,1,45,4,131536.29,2,1,1,93808.84,0,0,0,0
201,3735,15574608,Uspensky,552,Germany,0,33,3,118404.04,1,1,1,129180.71,0,0,0,0
202,3271,15593601,Rocher,593,Spain,1,42,2,94737.79,1,0,1,83755.0,1,1,0,0
203,7084,15658532,Clark,641,France,0,45,6,156653.81,1,1,1,71494.57,1,0,1,0
204,1334,15701109,Onwumelu,574,France,0,36,3,62397.41,2,0,0,123639.17,0,0,1,0
205,361,15729908,Liardet,610,Germany,0,47,6,87104.13,2,1,0,80158.66,0,0,0,0
206,6248,15590146,Shand,550,France,0,43,3,111502.17,1,1,1,70563.58,0,0,1,0
207,5027,15631451,Isaacs,669,France,0,54,5,125782.89,1,1,0,105429.51,0,0,1,0
208,1685,15768120,Rossi,492,Germany,0,44,6,146220.59,2,0,1,130864.48,0,0,0,0
209,5596,15670914,Stewart,522,Germany,1,40,5,128492.68,1,1,0,138050.03,0,0,0,0
210,7481,15766044,Piazza,699,France,0,36,5,133460.62,1,1,0,80510.73,0,0,1,0
211,8072,15762984,Haworth,607,Germany,0,38,6,115935.53,2,1,0,132753.01,0,0,0,0
212,6009,15618243,Simmons,552,Spain,0,37,4,62397.41,2,1,0,119327.51,0,1,0,0
213,2596,15631189,Chukwuemeka,565,Spain,0,31,4,62397.41,2,1,0,87259.22,0,1,0,0
214,6201,15752342,Cheng,713,France,1,49,6,123731.39,1,1,1,71886.73,1,0,1,0
215,5864,15685564,Madukwe,628,Germany,0,43,2,140020.05,1,1,0,130385.34,0,0,0,0
216,4164,15646720,Boyle,645,Spain,0,41,3,62397.41,2,1,1,135172.48,0,1,0,0
217,9507,15797760,Archer,656,Spain,0,35,6,122180.11,1,0,0,64341.89,1,1,0,0
218,4268,15693752,Forbes,676,France,1,33,6,62397.41,2,1,1,129148.49,0,0,1,0
219,681,15776743,Chiganu,641,Germany,1,39,4,126267.11,2,1,0,86836.08,0,0,0,0
220,2794,15665943,Watt,542,Germany,1,48,6,114058.0,1,1,1,87393.48,0,0,0,0
221,4725,15779174,McMillan,714,France,0,38,6,62397.41,2,1,0,114068.65,0,0,1,0
222,317,15742879,Kirillova,631,Spain,0,47,4,62397.41,2,0,0,139515.21,0,1,0,0
223,9516,15685019,Folliero,647,Spain,1,46,4,129352.21,2,1,1,98274.97,0,1,0,0
224,9825,15721569,Davidson,600,France,1,35,5,62397.41,2,0,1,79690.93,0,0,1,0
225,5093,15767358,Grant,571,France,0,37,5,62397.41,2,0,0,110450.8,0,0,1,0
226,4920,15805303,Allan,590,France,0,44,5,62397.41,2,0,0,119610.51,0,0,1,0
227,5302,15577598,Hung,684,France,0,37,6,103950.06,1,1,0,75348.0,0,0,1,0
228,9926,15719017,Phillips,683,France,1,36,6,62397.41,2,0,0,132353.89,0,0,1,0
229,9680,15681007,Igwebuike,707,Germany,0,41,3,117658.63,2,0,1,87970.77,0,0,0,0
230,1984,15617655,Udinese,674,Spain,0,39,5,62397.41,2,0,1,107489.78,0,1,0,0
231,3292,15801411,Cattaneo,609,Germany,1,47,6,125778.72,2,0,1,104554.61,0,0,0,0
232,7239,15784597,Lord,679,Spain,0,36,3,62397.41,2,1,0,63538.88,0,1,0,0
233,2778,15705777,Hsing,673,France,0,39,6,62397.41,2,1,1,118250.8,0,0,1,0
234,7663,15645778,Wickham,651,France,1,49,4,99243.25,1,0,0,66535.8,1,0,1,0
235,4906,15643967,Thompson,644,France,0,49,3,62397.41,2,0,0,103723.68,0,0,1,0
236,4042,15676521,Gorbunov,607,France,1,36,5,155736.3,2,1,1,90332.74,0,0,1,0
237,5175,15758513,Gardner,720,France,0,32,5,62397.41,2,1,0,134947.5,0,0,1,0
238,4338,15807555,Ejimofor,720,France,0,32,6,62397.41,2,1,0,83580.83,0,0,1,0
239,204,15631436,McKenzie,726,France,0,39,5,62397.41,2,0,0,100345.28,0,0,1,0
240,6589,15783338,Shih,740,Germany,0,41,4,103508.56,2,1,0,95798.2,0,0,0,0
241,6487,15579617,Jamieson,560,France,1,37,5,118616.6,2,1,1,72929.88,0,0,1,0
242,1849,15752731,Freeman,641,Germany,0,39,5,102727.83,2,0,0,81639.99,0,0,0,0
243,226,15746749,Wang,668,France,1,36,4,106313.13,2,0,0,128123.26,0,0,1,0
244,8023,15758726,Tao,514,France,1,35,6,62397.41,1,1,1,101424.27,0,0,1,0
245,7437,15746553,Lei,709,Spain,1,42,5,62397.41,2,1,1,116375.73,0,1,0,0
246,4509,15581811,Capon,546,Spain,0,43,4,62397.41,1,1,0,114818.82,0,1,0,0
247,7774,15777784,Archer,622,France,1,44,6,62397.41,2,1,0,119321.78,0,0,1,0
248,2892,15717898,Labrador,641,France,1,38,3,62397.41,2,1,1,74787.89,0,0,1,0
249,9069,15592230,Hancock,570,France,0,50,4,62397.41,1,1,1,138362.86,1,0,1,0
250,8238,15638159,Hou,577,Germany,1,38,7,132699.74,2,1,0,64050.44,0,0,0,0
251,4023,15685226,Chiazagomekpere,627,France,1,42,5,113377.04,2,0,1,59386.59,0,0,1,0
252,4272,15738191,Osonduagwuike,538,France,1,39,5,62397.41,1,1,1,117108.82,0,0,1,0
253,4301,15761023,Smith,659,Germany,0,52,3,136738.24,1,1,1,80280.57,0,0,0,0
254,4640,15734202,Hsia,565,France,0,41,4,62397.41,2,1,1,117509.04,0,0,1,0
255,4302,15705512,Davison,551,Spain,1,39,5,97947.38,1,1,1,66117.6,1,1,0,0
256,3702,15742285,Dettmann,648,Germany,0,40,3,117807.44,1,1,1,133262.37,0,0,0,0
257,6418,15763093,Mazzi,738,France,0,36,4,137222.61,2,0,1,87762.72,0,0,1,0
258,2126,15813946,Lucchesi,638,France,1,34,6,62397.41,2,1,0,121604.41,0,0,1,0
259,2011,15703614,Ibekwe,620,France,0,70,5,62397.41,2,1,1,126162.76,0,0,1,0
260,2513,15697129,Hendley,690,Spain,0,42,3,62397.41,2,0,1,134222.79,0,1,0,0
261,2205,15585284,Eskridge,696,Germany,0,39,2,127305.42,2,1,1,68820.57,0,0,0,0
262,1926,15665238,Costa,714,Germany,1,45,3,99833.61,2,0,1,76326.49,0,0,0,0
263,5721,15793842,Henderson,590,France,1,43,3,119035.09,1,1,1,111790.32,0,0,1,0
264,5473,15714046,Wilson,660,Germany,0,52,6,111040.46,1,1,1,122676.46,0,0,0,0
265,4739,15766896,Peng,659,France,0,60,5,136968.3,1,0,0,108014.54,1,0,1,0
266,1443,15750396,Padovano,723,Spain,0,44,5,62397.41,2,1,0,77621.46,0,1,0,0
267,1338,15813303,Perez,639,France,0,32,5,62397.41,1,0,1,72646.28,0,0,1,0
268,7684,15805463,Chidubem,723,Spain,0,44,5,62397.41,2,1,1,114711.81,0,1,0,0
269,2199,15801336,Gardner,589,France,0,42,6,62397.41,1,1,0,77845.14,0,0,1,0
270,3218,15710726,Russell,664,France,0,39,5,121562.28,1,1,0,58578.69,0,0,1,0
271,5230,15608209,McDaniels,727,Spain,0,49,6,132358.37,1,0,1,88967.37,0,1,0,0
272,7455,15748597,Yefremova,583,Spain,0,35,6,62397.41,2,0,0,90510.25,0,1,0,0
273,2202,15778304,Chu,646,France,0,44,5,119297.04,2,1,0,72207.0,0,0,1,0
274,2298,15571586,Clark,687,France,1,48,6,62397.41,1,1,0,105709.35,0,0,1,0
275,8619,15602312,Mundy,592,France,0,49,5,98096.0,1,1,0,82141.91,0,0,1,0
276,6848,15583138,Kirillov,644,France,1,51,3,62397.41,1,1,0,62660.62,1,0,1,0
277,9374,15771383,Lord,633,Spain,1,39,4,117575.52,2,1,0,114460.31,0,1,0,0
278,4279,15742323,Swanson,586,Germany,1,37,5,113707.95,4,0,0,137330.26,1,0,0,0
279,7602,15750769,Genovesi,584,France,1,56,6,131725.56,1,1,1,93405.58,0,0,1,0
280,8704,15776231,McKay,753,Spain,1,43,7,62397.41,2,1,1,118282.08,0,1,0,0
